date,close,high,low,open,close,volume
2002/5/20,1541.53,1564.982,1529.348,1564.968,1567.497,6012900
2002/5/17,1567.497,1570.149,1540.576,1549.083,1549.501,8445100
2002/5/16,1549.501,1592.237,1546.941,1592.236,1598.354,10526900
2002/5/15,1598.354,1618.14,1597.916,1614.9,1616.231,7819100
2002/5/14,1616.231,1629.881,1613.554,1622.331,1623.94,6308200
2002/5/13,1623.94,1634.916,1618.464,1634.901,1638.198,6777300
2002/5/10,1638.198,1652.288,1636.86,1650.913,1650.578,6997300
2002/5/9,1650.578,1659.252,1646.816,1648.46,1652.368,6538500
2002/5/8,1652.368,1670.917,1651.691,1669.871,1667.749,5335500
2002/4/30,1667.749,1673.75,1657.817,1668.313,1665.812,11275200
2002/4/29,1665.812,1667.159,1640.559,1643.549,1640.589,12737100
2002/4/26,1640.589,1643.153,1615.519,1615.519,1615.919,9104900
2002/4/25,1615.919,1616.763,1603.637,1609.936,1611.051,5909900
2002/4/24,1611.051,1626.385,1609.205,1623.468,1624.546,6859500
2002/4/23,1624.546,1634.863,1621.866,1626.63,1627.48,6396100
2002/4/22,1627.48,1637.185,1619.158,1633.642,1635.172,6609401
2002/4/19,1635.172,1635.529,1603.956,1625.249,1628.137,10622400
2002/4/18,1628.137,1646.252,1626.034,1644.147,1644.395,9560200
2002/4/17,1644.395,1649.433,1630.228,1641.724,1640.285,9050200
2002/4/16,1640.285,1654.744,1635.751,1647.508,1649.5,7547600
2002/4/15,1649.5,1664.524,1638.638,1660.572,1658.979,10513300
2002/4/12,1658.979,1664.415,1648.454,1648.454,1649.53,11237800
2002/4/11,1649.53,1680.298,1649.269,1679.341,1677.658,11766400
2002/4/10,1677.658,1677.938,1663.473,1670.802,1667.522,14493700
2002/4/9,1667.522,1671.863,1640.692,1641.847,1640.65,18754700
2002/4/8,1640.65,1643.676,1631.067,1633.831,1634.643,7840400
2002/4/5,1634.643,1657.094,1628.546,1650.504,1641.699,13270200
2002/4/4,1641.699,1643.54,1583.634,1595.018,1594.508,13272800
2002/4/3,1594.508,1603.798,1582.672,1582.744,1582.883,9056800
2002/4/2,1582.883,1610.727,1575.972,1608.519,1608.506,10704700
2002/4/1,1608.506,1609.917,1589.407,1598.026,1603.905,9246300
2002/3/29,1603.905,1648.087,1596.254,1648.087,1650.673,15007400
2002/3/28,1650.673,1666.515,1645.34,1653.983,1654.231,9549300
2002/3/27,1654.231,1655.176,1635.816,1646.679,1649.484,9183000
2002/3/26,1649.484,1675.21,1641.914,1674.704,1675.289,13766799
2002/3/25,1675.289,1677.045,1663.395,1667.853,1669.694,11101700
2002/3/22,1669.694,1684.461,1659.516,1684.071,1685.017,13586600
2002/3/21,1685.017,1693.873,1675.245,1686.946,1682.51,18358166
2002/3/20,1682.51,1686.105,1664.368,1673.265,1665.357,26220600
2002/3/19,1665.357,1665.622,1624.29,1624.319,1623.884,17211900
2002/3/18,1623.884,1657.678,1610.993,1641.429,1620.976,16323000
2002/3/15,1620.976,1676.506,1620.562,1671.825,1665.151,17542200
2002/3/14,1665.151,1665.785,1621.079,1621.079,1623.432,16495100
2002/3/13,1623.432,1655.634,1621.797,1636.945,1643.692,19757200
2002/3/12,1643.692,1672.039,1641.583,1665.237,1664.094,30771400
2002/3/11,1664.094,1664.519,1632.615,1643.59,1640.256,36350700
2002/3/8,1640.256,1645.292,1611.228,1622.869,1613.001,33084300
2002/3/7,1613.001,1613.256,1569.073,1569.172,1569.208,22017900
2002/3/6,1569.208,1594.667,1563.923,1564.694,1560.079,21051700
2002/3/5,1560.079,1566.066,1529.298,1529.298,1526.804,18763600
2002/3/4,1526.804,1527.4,1494.834,1497.827,1502.54,7526300
2002/3/1,1502.54,1521.567,1501.556,1521.528,1524.701,7298201
2002/2/28,1524.701,1544.394,1521.083,1537.926,1538.319,9027800
2002/2/27,1538.319,1544.921,1524.685,1531.317,1531.43,11617100
2002/2/26,1531.43,1531.717,1507.575,1529.376,1530.284,9296600
2002/2/25,1530.284,1544.574,1521.66,1540.493,1506.615,11375700
2002/2/8,1506.615,1530.126,1506.069,1520.717,1515.394,9404000
2002/2/7,1515.394,1521.027,1481.068,1482.357,1485.802,12798700
2002/2/6,1485.802,1521.558,1484.247,1517.813,1518.28,11856200
2002/2/5,1518.28,1522.324,1502.086,1510.567,1511.327,13974400
2002/2/4,1511.327,1513.671,1476.133,1485.676,1485.77,11584700
2002/2/1,1485.77,1507.639,1480.77,1494.577,1491.665,18166900
2002/1/31,1491.665,1501.33,1413.222,1413.224,1396.605,27589602
2002/1/30,1396.605,1408.05,1381.007,1392.95,1392.775,7118000
2002/1/29,1392.775,1396.108,1339.2,1343.358,1359.549,8726100
2002/1/28,1359.549,1448.603,1357.55,1444.501,1451.484,13984100
2002/1/25,1451.484,1464.902,1442.939,1449.882,1456.404,9777400
2002/1/24,1456.404,1478.54,1400.354,1435.319,1444.965,17330600
2002/1/23,1444.965,1445.696,1346.173,1355.863,1358.691,13839500
2002/1/22,1358.691,1400.76,1348.789,1360.294,1366.968,9519900
2002/1/21,1366.968,1412.212,1362.618,1406.997,1415.438,5676900
2002/1/18,1415.438,1434.966,1376.888,1405.55,1419.519,10553100
2002/1/17,1419.519,1476.378,1416.302,1476.358,1479.619,8109100
2002/1/16,1479.619,1482.178,1439.4,1458.843,1459.653,6379801
2002/1/15,1459.653,1491.703,1458.02,1475.338,1485.108,7312500
2002/1/14,1485.108,1519.932,1484.464,1519.932,1535.593,8867100
2002/1/11,1535.593,1574.268,1535.284,1574.261,1576.437,5483400
2002/1/10,1576.437,1580.007,1523.663,1556.737,1561.349,12487601
2002/1/9,1561.349,1580.72,1552.558,1580.711,1583.461,6808601
2002/1/8,1583.461,1607.722,1582.448,1594.867,1596.76,6071400
2002/1/7,1596.76,1605.741,1584.656,1605.741,1611.393,5134000
2002/1/4,1611.393,1643.5,1608.829,1643.485,1645.971,5265300
2001/12/31,1645.971,1649.8,1638.316,1641.428,1639.484,10632300
2001/12/28,1639.484,1639.848,1619.531,1626.955,1627.923,7060500
2001/12/27,1627.923,1644.409,1625.455,1635.461,1633.643,7360700
2001/12/26,1633.643,1634.33,1605.146,1610.648,1611.17,7229000
2001/12/25,1611.17,1613.602,1593.026,1604.667,1606.104,6263900
2001/12/24,1606.104,1640.143,1601.237,1639.522,1640.142,6635700
2001/12/21,1640.142,1640.793,1624.496,1627.439,1631.537,5902500
2001/12/20,1631.537,1669.48,1628.47,1669.475,1672.698,8320900
2001/12/19,1672.698,1693.181,1671.936,1688.917,1687.29,5899801
2001/12/18,1687.29,1687.769,1660.497,1666.514,1665.938,6820200
2001/12/17,1665.938,1680.838,1662.675,1673.242,1675.514,5152000
2001/12/14,1675.514,1692.905,1673.324,1683.728,1688.013,6840601
2001/12/13,1688.013,1720.55,1687.087,1713.78,1715.172,8595300
2001/12/12,1715.172,1728.834,1714.175,1724.875,1728.878,8719700
